Start,Gls,Sh,SoT,Home_1_Away_0,xG,SCA,GCA,Elo_Diff
0,0,1.0,0.0,0.0,0.29225352112676056,2.73943661971831,0.5070422535211268,181
1,0,1.0,0.0,0.5053191489361702,0.29225352112676056,2.73943661971831,0.5070422535211268,36
0,0,1.0,0.0,0.0,0.29225352112676056,2.73943661971831,0.5070422535211268,191
0,0,2.0,1.0,1.0,0.29225352112676056,2.73943661971831,0.5070422535211268,33
1,0,0.0,0.0,0.5053191489361702,0.29225352112676056,2.73943661971831,0.5070422535211268,45
0,0,0.0,0.0,0.0,0.29225352112676056,2.73943661971831,0.5070422535211268,-62
0,0,0.0,0.0,1.0,0.29225352112676056,2.73943661971831,0.5070422535211268,154
1,0,0.0,0.0,0.5053191489361702,0.29225352112676056,2.73943661971831,0.5070422535211268,40
0,0,1.0,0.0,0.0,0.29225352112676056,2.73943661971831,0.5070422535211268,-33
1,0,4.0,1.0,0.5053191489361702,0.29225352112676056,2.73943661971831,0.5070422535211268,101
0,0,3.0,1.0,0.0,0.29225352112676056,2.73943661971831,0.5070422535211268,36
0,0,0.0,0.0,1.0,0.29225352112676056,2.73943661971831,0.5070422535211268,246
0,0,2.0,1.0,1.0,0.29225352112676056,2.73943661971831,0.5070422535211268,188
0,0,5.0,1.0,0.0,0.29225352112676056,2.73943661971831,0.5070422535211268,197
0,0,0.0,0.0,1.0,0.29225352112676056,2.73943661971831,0.5070422535211268,-43
0,0,0.0,0.0,1.0,0.29225352112676056,2.73943661971831,0.5070422535211268,163
0,0,1.0,0.0,0.0,0.29225352112676056,2.73943661971831,0.5070422535211268,264
0,0,3.0,1.0,1.0,0.29225352112676056,2.73943661971831,0.5070422535211268,249
0,0,2.0,2.0,0.0,0.29225352112676056,2.73943661971831,0.5070422535211268,40
0,0,0.0,0.0,1.0,0.29225352112676056,2.73943661971831,0.5070422535211268,135
0,0,3.0,1.0,1.0,0.29225352112676056,2.73943661971831,0.5070422535211268,121
0,0,0.0,0.0,0.0,0.29225352112676056,2.73943661971831,0.5070422535211268,196
0,0,3.0,0.0,1.0,0.29225352112676056,2.73943661971831,0.5070422535211268,46
0,0,1.0,1.0,0.0,0.29225352112676056,2.73943661971831,0.5070422535211268,206
0,0,4.0,2.0,1.0,0.29225352112676056,2.73943661971831,0.5070422535211268,5
0,0,2.0,2.0,0.0,0.29225352112676056,2.73943661971831,0.5070422535211268,303
0,0,0.0,0.0,0.0,0.0,2.0,0.0,264
0,0,0.0,0.0,1.0,0.0,0.0,0.0,-2
0,0,1.0,0.0,1.0,0.0,3.0,0.0,247
0,0,0.0,0.0,0.0,0.0,1.0,0.0,115
0,0,6.0,3.0,1.0,0.5,8.0,0.0,249
0,0,6.0,3.0,0.0,0.5,8.0,0.0,232
1,0,5.0,0.0,0.5053191489361702,0.29225352112676056,2.73943661971831,0.5070422535211268,287
0,0,0.0,0.0,0.0,0.0,1.0,1.0,381
0,0,1.0,0.0,1.0,0.0,2.0,1.0,276
0,0,1.0,0.0,0.5053191489361702,0.29225352112676056,2.73943661971831,0.5070422535211268,-150
0,0,1.0,0.0,0.0,0.0,3.0,0.0,24
0,0,1.0,0.0,0.5053191489361702,0.29225352112676056,2.73943661971831,0.5070422535211268,-105
0,0,2.0,0.0,0.0,0.3,0.0,0.0,86
0,0,4.0,1.0,1.0,0.1,4.0,0.0,298
0,0,0.0,0.0,0.0,0.0,2.0,1.0,202
0,0,1.0,0.0,0.0,0.0,1.0,0.0,-62
0,0,3.0,1.0,0.0,0.5,2.0,0.0,204
0,0,2.0,0.0,0.0,0.1,2.0,1.0,297
0,0,0.0,0.0,0.0,0.0,0.0,0.0,259
0,0,3.0,1.0,1.0,0.3,6.0,0.0,-2
0,0,2.0,1.0,0.0,0.2,1.0,1.0,32
0,0,2.0,1.0,1.0,0.1,3.0,0.0,94
0,0,0.0,0.0,0.5053191489361702,0.29225352112676056,2.73943661971831,0.5070422535211268,-43
0,0,0.0,0.0,0.0,0.0,0.0,0.0,280
0,0,3.0,3.0,0.0,0.2,3.0,1.0,69
0,0,2.0,1.0,0.0,0.4,1.0,0.0,321
0,0,1.0,0.0,1.0,0.0,0.0,0.0,-18
0,0,3.0,2.0,0.0,0.2,4.0,2.0,315
0,0,0.0,0.0,1.0,0.0,3.0,1.0,299
0,0,1.0,1.0,0.0,0.0,2.0,0.0,310
0,0,0.0,0.0,1.0,0.0,2.0,1.0,258
0,0,0.0,0.0,1.0,0.0,0.0,0.0,213
0,0,0.0,0.0,0.0,0.0,0.0,0.0,244
0,0,0.0,0.0,1.0,0.0,2.0,0.0,-11
1,0,1.0,1.0,0.5053191489361702,0.0,2.0,0.0,178
0,0,3.0,0.0,0.0,0.2,1.0,0.0,267
0,0,2.0,1.0,0.0,0.1,2.0,0.0,355
1,0,0.0,0.0,0.5053191489361702,0.0,2.0,1.0,-99
0,0,2.0,0.0,1.0,0.2,3.0,0.0,343
0,0,2.0,0.0,0.0,0.2,3.0,0.0,225
1,0,5.0,3.0,0.5053191489361702,0.4,4.0,1.0,192
0,0,5.0,3.0,1.0,0.4,4.0,1.0,-86
0,0,0.0,0.0,0.0,0.0,4.0,2.0,269
1,0,2.0,0.0,0.5053191489361702,0.1,2.0,0.0,180
0,0,1.0,0.0,0.0,0.2,1.0,0.0,244
0,0,0.0,0.0,0.5053191489361702,0.0,0.0,0.0,105
0,0,3.0,3.0,0.0,0.1,3.0,2.0,62
1,0,3.0,3.0,0.5053191489361702,0.8,3.0,0.0,-120
0,0,1.0,0.0,1.0,0.2,0.0,0.0,290
0,0,4.0,0.0,1.0,0.1,4.0,1.0,297
0,0,2.0,1.0,1.0,0.1,5.0,0.0,49
0,0,1.0,0.0,0.0,0.0,3.0,0.0,269
0,0,1.0,0.0,0.0,0.0,0.0,0.0,80
0,0,1.0,0.0,1.0,0.0,0.0,0.0,42
1,0,2.0,0.0,0.5053191489361702,0.4,1.0,0.0,66
0,0,0.0,0.0,0.0,0.0,0.0,0.0,255
0,0,0.0,0.0,0.0,0.0,2.0,0.0,-79
0,0,0.0,0.0,1.0,0.0,1.0,1.0,402
0,0,3.0,2.0,0.0,0.6,4.0,0.0,-92
0,0,4.0,0.0,1.0,0.2,7.0,0.0,309
0,0,4.0,1.0,1.0,0.3,1.0,0.0,235
0,0,1.0,0.0,0.0,0.1,1.0,0.0,211
1,0,6.0,1.0,0.5053191489361702,0.3,9.0,0.0,45
1,0,3.0,3.0,0.5053191489361702,0.1,4.0,0.0,-140
0,0,6.0,2.0,1.0,0.2,6.0,0.0,201
0,0,2.0,2.0,0.0,0.2,5.0,1.0,12
0,0,0.0,0.0,0.5053191489361702,0.0,0.0,0.0,168
0,0,3.0,1.0,0.0,0.3,5.0,1.0,139
0,0,1.0,1.0,1.0,0.0,6.0,2.0,207
0,0,0.0,0.0,0.0,0.0,1.0,0.0,240
0,0,1.0,1.0,1.0,0.1,1.0,0.0,195
