Date,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,SonTeamResult,SonTeamScore,OpponentTeamScore,Home_1_Away_0,Points_Won,Day,Touches,Press,Tkl,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist.1,Succ,Att.1,Prog,Prog.1,Elo,Elo_Opp,Elo_Diff
2012-04-08,Bundesliga,29,Home,D 1â€“1,Hamburger SV,Leverkusen,0,,2,0,,0,,,,0,0,,,,,,,0,,,D,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1657,1743,-86
2012-04-14,Bundesliga,31,Home,W 1â€“0,Hamburger SV,Hannover 96,1,,90,1,,0,,,,0,0,,,,,,,0,,,W,1.0,0.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,1646,1734,-88
2012-04-21,Bundesliga,32,Away,D 1â€“1,Hamburger SV,NÃ¼rnberg,1,,84,1,,0,,,,0,0,,,,,,,0,,,D,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,1656,1689,-33
2012-04-28,Bundesliga,33,Home,D 0â€“0,Hamburger SV,Mainz 05,1,,90,0,,0,,,,0,0,,,,,,,0,,,D,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1660,1710,-50
2012-05-05,Bundesliga,34,Away,L 0â€“1,Hamburger SV,Augsburg,0,,24,0,,0,,,,0,0,,,,,,,0,,,L,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1660,1655,5
2012-08-25,Bundesliga,1,Home,L 0–1,Hamburger SV,Nürnberg,1,,70,0,,0,,,,0,0,,,,,,,0,,,L,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,1649,1679,-30
2012-09-01,Bundesliga,2,Away,L 0–2,Hamburger SV,Werder Bremen,1,,70,0,,0,,,,0,0,,,,,,,0,,,L,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1642,1675,-33
2012-09-16,Bundesliga,3,Away,L 2–3,Hamburger SV,Eint Frankfurt,1,,90,1,,0,,,,0,0,,,,,,,0,,,L,2.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1635,1657,-22
2012-09-22,Bundesliga,4,Home,W 3–2,Hamburger SV,Dortmund,1,,90,2,,0,,,,0,0,,,,,,,0,,,W,3.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,1628,1916,-288
2012-09-26,Bundesliga,5,Away,D 2–2,Hamburger SV,M'Gladbach,1,,90,0,,0,,,,0,0,,,,,,,0,,,D,2.0,2.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,1641,1738,-97
2012-09-29,Bundesliga,6,Home,W 1–0,Hamburger SV,Hannover 96,1,,88,0,,0,,,,0,0,,,,,,,0,,,W,1.0,0.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,1645,1743,-98
2012-10-06,Bundesliga,7,Away,W 1–0,Hamburger SV,Greuther Fürth,1,,90,1,,0,,,,0,0,,,,,,,0,,,W,1.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,1639,1610,29
2012-10-21,Bundesliga,8,Home,L 0–1,Hamburger SV,Stuttgart,1,,85,0,,0,,,,0,0,,,,,,,0,,,L,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,1648,1704,-56
2012-10-26,Bundesliga,9,Away,W 2–0,Hamburger SV,Augsburg,1,,90,1,,0,,,,1,0,,,,,,,0,,,W,2.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,1655,1638,17
2012-11-03,Bundesliga,10,Home,L 0–3,Hamburger SV,Bayern Munich,1,,90,0,,0,,,,0,0,,,,,,,0,,,L,0.0,3.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,1668,1938,-270
2012-11-10,Bundesliga,11,Away,D 0–0,Hamburger SV,Freiburg,1,,90,0,,0,,,,0,0,,,,,,,0,,,D,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,1669,1688,-19
2012-11-17,Bundesliga,12,Home,W 1–0,Hamburger SV,Mainz 05,1,,90,1,,0,,,,1,0,,,,,,,0,,,W,1.0,0.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,1672,1719,-47
2012-11-23,Bundesliga,13,Away,L 0–2,Hamburger SV,Düsseldorf,1,,90,0,,0,,,,0,0,,,,,,,0,,,L,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1684,1623,61
2012-12-02,Bundesliga,15,Away,D 1–1,Hamburger SV,Wolfsburg,0,,37,0,,0,,,,0,0,,,,,,,0,,,D,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,1687,1685,2
2012-12-07,Bundesliga,16,Home,W 2–0,Hamburger SV,Hoffenheim,1,,90,0,,0,,,,0,0,,,,,,,0,,,W,0.0,0.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,1692,1637,55
2012-12-15,Bundesliga,17,Away,L 0–3,Hamburger SV,Leverkusen,1,,65,0,,0,,,,0,0,,,,,,,0,,,L,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1699,1812,-113
2013-01-20,Bundesliga,18,Away,D 1–1,Hamburger SV,Nürnberg,1,,90,0,,0,,,,0,0,,,,,,,0,,,D,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,1692,1693,-1
2013-01-27,Bundesliga,19,Home,W 3–2,Hamburger SV,Werder Bremen,1,,90,1,,0,,,,0,0,,,,,,,0,,,W,0.0,0.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,1694,1689,5
2013-02-02,Bundesliga,20,Home,L 0–2,Hamburger SV,Eint Frankfurt,1,,90,0,,0,,,,0,0,,,,,,,0,,,L,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,1700,1700,0
2013-02-09,Bundesliga,21,Away,W 4–1,Hamburger SV,Dortmund,1,,90,2,,0,,,,0,0,,,,,,,0,,,W,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,1687,1952,-265
2013-02-16,Bundesliga,22,Home,W 1–0,Hamburger SV,M'Gladbach,1,,75,0,,0,,,,0,0,,,,,,,0,,,W,0.0,0.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,1704,1754,-50
2013-02-23,Bundesliga,23,Away,L 1–5,Hamburger SV,Hannover 96,1,,90,0,,0,,,,0,0,,,,,,,0,,,L,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1711,1710,1
2013-03-02,Bundesliga,24,Home,D 1–1,Hamburger SV,Greuther Fürth,1,,87,0,,0,,,,0,0,,,,,,,0,,,D,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1698,1591,107
2013-03-10,Bundesliga,25,Away,W 1–0,Hamburger SV,Stuttgart,0,,19,0,,0,,,,0,0,,,,,,,0,,,W,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,1691,1686,5
2013-03-16,Bundesliga,26,Home,L 0–1,Hamburger SV,Augsburg,1,,90,0,,0,,,,0,0,,,,,,,0,,,L,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,1692,1622,70
2013-03-30,Bundesliga,27,Away,L 2–9,Hamburger SV,Bayern Munich,1,,57,0,,0,,,,0,0,,,,,,,0,,,L,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1680,1980,-300
2013-04-06,Bundesliga,28,Home,L 0–1,Hamburger SV,Freiburg,1,,90,0,,0,,,,1,0,,,,,,,0,,,L,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,1678,1706,-28
2013-04-13,Bundesliga,29,Away,W 2–1,Hamburger SV,Mainz 05,1,,90,2,,0,,,,0,0,,,,,,,0,,,W,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,1672,1714,-42
2013-04-20,Bundesliga,30,Home,W 2–1,Hamburger SV,Düsseldorf,1,,80,0,,0,,,,0,0,,,,,,,0,,,W,0.0,0.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,1683,1619,64
2013-04-28,Bundesliga,31,Away,L 1–4,Hamburger SV,Schalke 04,1,,90,0,,0,,,,0,0,,,,,,,0,,,L,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1700,1771,-71
2013-05-05,Bundesliga,32,Home,D 1–1,Hamburger SV,Wolfsburg,1,,90,0,,0,,,,1,0,,,,,,,0,,,D,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1694,1724,-30
2013-05-11,Bundesliga,33,Away,W 4–1,Hamburger SV,Hoffenheim,1,,78,1,,0,,,,0,0,,,,,,,0,,,W,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,1693,1643,50
2013-05-18,Bundesliga,34,Home,L 0–1,Hamburger SV,Leverkusen,1,,90,0,,0,,,,0,0,,,,,,,0,,,L,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,1708,1826,-118
2013-08-10,Bundesliga,1,Home,W 3–1,Leverkusen,Freiburg,1,,70,1,,0,,,,0,0,,,,,,,0,,,W,3.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,1832,1738,94
2013-08-17,Bundesliga,2,Away,W 1–0,Leverkusen,Stuttgart,1,,71,0,,0,,,,0,0,,,,,,,0,,,W,1.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,1838,1683,155
2013-08-24,Bundesliga,3,Home,W 4–2,Leverkusen,M'Gladbach,1,,88,0,,0,,,,0,0,,,,,,,0,,,W,4.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,1841,1741,100
2013-08-31,Bundesliga,4,Away,L 0–2,Leverkusen,Schalke 04,1,,90,0,,0,,,,0,0,,,,,,,0,,,L,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1843,1755,88
2013-09-14,Bundesliga,5,Home,W 3–1,Leverkusen,Wolfsburg,1,,81,0,,0,,,,0,0,,,,,,,0,,,W,3.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,1831,1729,102
